Trial,Item,SentenceBefore,SentenceAfter,IA_ID,Condition,List,Positive,Negative,Unrelated,Target,Comprehension,,,,,,,,,,,,,,
134,134,The film was centered around a certain coroner and was shot in the 1900s.,The film was centered around a certain pursuit and was shot in the 1900s.,8,N/Neu,1,.,coroner,.,pursuit,"Was the film shot recently, not in the 1900s?",,,,,,,,,,,,,,
135,135,People have differing opinions about goblet function these days.,People have differing opinions about piston function these days.,6,UnNeu/Neu,1,.,.,goblet,piston,Do people unanimously agree on the function of the subject in question?,,,,,,,,,,,,,,
136,136,My boss keeps telling me we don't need another brigade to be successful.,My boss keeps telling me we don't need another brigade to be successful.,1,Neu/Neu,1,.,.,.,brigade,Is another new hire exactly what the company needs to succeed?,,,,,,,,,,,,,,
137,137,We read about prize standards from that time period.,We read about quilt standards from that time period.,4,P/Neu,1,prize,.,.,quilt,Were the standards from that time period irrelevant to our reading?,,,,,,,,,,,,,,
138,138,There is such variety in a certain leech type that I am excited about.,There is such variety in a certain latch type that I am excited about.,8,N/Neu,1,.,leech,.,latch,Is there little variety in the specific type that excites me?,,,,,,,,,,,,,,
139,139,That was the second statesman I've ran into this week.,That was the second adversity I've ran into this week.,5,UnNeu/Neu,1,.,.,statesman,adversity,Is this the first time I've encountered this phenomenon this week?,,,,,,,,,,,,,,
140,140,They read the comedy about the famous squire in high school,They read the comedy about the famous squire in high school,8,Neu/Neu,1,.,.,.,squire,Was the comedy unrelated to the famous person studied in high school?,,,,,,,,,,,,,,
141,141,"The website depicted tropics images, as well as relevant links.","The website depicted battery images, as well as relevant links.",4,P/Neu,1,tropics,.,.,battery,Did the website show informative images along with relevant links?,,,,,,,,,,,,,,
142,142,The inspector said the certain enema chosen was oddly dark.,The inspector said the certain briar chosen was oddly dark.,6,N/Neu,1,.,enema,.,briar,Did the inspector comment that the shade selected was surprisingly light?,,,,,,,,,,,,,,
143,143,The song he wrote was about sphincter troubles and was a big hit.,The song he wrote was about temptress troubles and was a big hit.,7,UnNeu/Neu,1,.,.,sphincter,temptress,Was the song he wrote about joyous troubles and well-received?,,,,,,,,,,,,,,
144,144,The book gave a detailed history about anagram use in the United States.,The book gave a detailed history about anagram use in the United States.,8,Neu/Neu,1,.,.,.,anagram,Does the book provide a comprehensive history of prohibited substance use in the United States?,,,,,,,,,,,,,,
145,145,They discussed literacy related dynamics in the meeting.,They discussed gasoline related dynamics in the meeting.,3,P/Neu,1,literacy,.,.,gasoline,Were the meeting discussions focused on unrelated dynamics?,,,,,,,,,,,,,,
146,146,The lady would like to learn more about a certain gangland for the study.,The lady would like to learn more about a certain airstrip for the study.,11,N/Neu,1,.,gangland,.,airstrip,Is the lady interested in learning about an unknown subject for her study?,,,,,,,,,,,,,,
147,147,"Last week, there was a report about implant breakdown discovered nearby.","Last week, there was a report about fissure breakdown discovered nearby.",8,UnNeu/Neu,1,.,.,implant,fissure,Was there a report last week about a significant breakdown in the area?,,,,,,,,,,,,,,
148,148,"At the office, former ulterior records were kept in a hidden case.","At the office, former ulterior records were kept in a hidden case.",5,Neu/Neu,1,.,.,.,ulterior,Were the former confidential records stored openly at the office?,,,,,,,,,,,,,,
149,149,"I was always told every tradition will reoccur, and today I believed it.","I was always told every charlatan will reoccur, and today I believed it.",6,P/Neu,1,tradition,.,.,charlatan,Has the event I was warned about never happened until today?,,,,,,,,,,,,,,
150,150,Lauren told me that she dreamt about a certain failure that was life changing.,Lauren told me that she dreamt about a certain thicket that was life changing.,1,N/Neu,1,.,failure,.,thicket,Did Lauren dream about something mundane that changed her life?,,,,,,,,,,,,,,
151,151,The woman gave a talk to the group about turnover in training last week.,The woman gave a talk to the group about collagen in training last week.,1,UnNeu/Neu,1,.,.,turnover,collagen,Was the woman's talk about the importance of humor in training?,,,,,,,,,,,,,,
152,152,The box had a faded sign that was labeled scullery sitting on the shelf.,The box had a faded sign that was labeled scullery sitting on the shelf.,1,Neu/Neu,1,.,.,.,scullery,Was there a clearly labeled box left unnoticed on the shelf?,,,,,,,,,,,,,,
153,153,"Jacob noticed an uncontrolled increase within his neighborhood, where the population was changing.","Jacob noticed an uncontrolled showdown within his neighborhood, where the population was changing.",5,P/Neu,1,increase,.,.,showdown,Did Jacob witness a well-controlled situation in his changing neighborhood?,,,,,,,,,,,,,,
154,154,The large dog exhibited a serious malice which was visible from across the park.,The large dog exhibited a serious muzzle which was visible from across the park.,7,N/Neu,1,.,malice,.,muzzle,Did the large dog show a mild temperament that was noticeable in the park?,,,,,,,,,,,,,,
155,155,The podcast was about a scientist who had discovered another photon last year.,The podcast was about a scientist who had discovered another effect last year.,11,UnNeu/Neu,1,.,.,photon,effect,Was the podcast discussing a scientist's discovery made several years ago?,,,,,,,,,,,,,,
156,156,Emmylou said she had been given a similar record in the past.,Emmylou said she had been given a similar record in the past.,9,Neu/Neu,1,.,.,.,record,Has Emmylou received a similar gift in the past?,,,,,,,,,,,,,,
157,157,She said they needed manpower in order to finish the job.,She said they needed landfall in order to finish the job.,5,P/Neu,1,manpower,.,.,landfall,Did they say additional resources were unnecessary to complete the job?,,,,,,,,,,,,,,
158,158,The handlers skillfully managed their turmoil all night long.,The handlers skillfully managed their solvent all night long.,6,N/Neu,1,.,turmoil,.,solvent,Did the handlers struggle to manage their tasks throughout the night?,,,,,,,,,,,,,,
159,159,He listened to a podcast about the former adversary of the foreign country.,He listened to a podcast about the former motorcade of the foreign country.,9,UnNeu/Neu,1,.,.,adversary,motorcade,Was the podcast about the current leader of a foreign country?,,,,,,,,,,,,,,
160,160,The website provided investigative reporting about tulip measurement for a lay audience.,The website provided investigative reporting about tulip measurement for a lay audience.,7,Neu/Neu,1,.,.,.,tulip,Did the website offer entertainment news instead of investigative reporting for a specialized audience?,,,,,,,,,,,,,,
1,1,There were myths about immature animals near the island.,There were myths about offshore animals near the island.,5,N/Neu,2,.,immature,.,offshore,Were there myths about animals near the island?,,,,,,,,,,,,,,
2,2,We found the guests requests to be rather trite each evening.,We found the guests requests to be rather plain each evening.,9,UnNeu/Neu,2,.,.,trite,plain,Did the guests find the evening requests peculiar?,,,,,,,,,,,,,,
3,3,The discussion centered around secular ideas and lasted for hours.,The discussion centered around secular ideas and lasted for hours.,5,Neu/Neu,2,.,.,.,secular,Was the discussion about innovative ideas?,,,,,,,,,,,,,,
4,4,The guests did not expect the culture to appear masculine and were surprised.,The guests did not expect the culture to appear tolerable and were surprised.,1,P/Neu,2,masculine,.,.,tolerable,Did the culture on the island appear different than expected?,,,,,,,,,,,,,,
5,5,The psychologist agreed that sometimes shameful dreams would occur with her patients.,The psychologist agreed that sometimes colossal dreams would occur with her patients.,6,N/Neu,2,.,shameful,.,colossal,Can recurrent dreams sometimes be a topic of agreement among psychologists?,,,,,,,,,,,,,,
6,6,She believed that the demand for the product had become trendy since last month.,She believed that the demand for the product had become latent since last month.,11,UnNeu/Neu,2,.,.,trendy,latent,Has the demand for the product become insatiable since last month?,,,,,,,,,,,,,,
7,7,The college course featured readings about forensic topics that were required.,The college course featured readings about forensic topics that were required.,7,Neu/Neu,2,.,.,.,forensic,Does the college course require readings on eclectic topics?,,,,,,,,,,,,,,
8,8,The artist created feasible structures and was very successful.,The artist created apparent structures and was very successful.,4,P/Neu,2,feasible,.,.,apparent,Were the structures created by the artist abstract in nature?,,,,,,,,,,,,,,
9,9,Mary's attitude was clearly punitive last Wednesday after work.,Mary's attitude was clearly infernal last Wednesday after work.,5,N/Neu,2,.,punitive,.,infernal,Was Mary's attitude defiant after work last Wednesday?,,,,,,,,,,,,,,
10,10,The woman's attitude seemed leaded so the kids kept their distance.,The woman's attitude seemed slinky so the kids kept their distance.,5,UnNeu/Neu,2,.,.,leaded,slinky,Did the children keep their distance because the woman seemed unapproachable?,,,,,,,,,,,,,,
11,11,Dean said that the painting was really fragile at the show.,Dean said that the painting was really fragile at the show.,8,Neu/Neu,2,.,.,.,fragile,Was Dean's opinion of the painting at the show positive?,,,,,,,,,,,,,,
12,12,The decision reached by the judge came off as fairly resilient to the jury.,The decision reached by the judge came off as fairly momentary to the jury.,11,P/Neu,2,resilient,.,.,momentary,Did the jury consider the judge's decision impartial?,,,,,,,,,,,,,,
13,13,The art form's unique style was quite dizzy and drew attention.,The art form's unique style was quite focal and drew attention.,8,N/Neu,2,.,dizzy,.,focal,Was the art form's style deemed avant-garde?,,,,,,,,,,,,,,
14,14,"At the cafe, the waiter's mediocre abilities stood out to his employer.","At the cafe, the waiter's remedial abilities stood out to his employer.",6,UnNeu/Neu,2,.,.,mediocre,remedial,"In the cafe, were the waiter's customer service abilities exceptional?",,,,,,,,,,,,,,
15,15,In the cartoon there were several sleepy looking animations that danced around the screen.,In the cartoon there were several sleepy looking animations that danced around the screen.,7,Neu/Neu,2,.,.,.,sleepy,Did the cartoon feature whimsical animations?,,,,,,,,,,,,,,
16,16,The dog trainer talked with a slightly candid tone to the customers.,The dog trainer talked with a slightly wobbly tone to the customers.,8,P/Neu,2,candid,.,.,wobbly,Did the dog trainer speak to the customers in a condescending tone?,,,,,,,,,,,,,,
17,17,The woman told us that the photo exhibit was about costly themes and topics.,The woman told us that the photo exhibit was about blurry themes and topics.,11,N/Neu,2,.,costly,.,blurry,Was the photo exhibit about diverse themes?,,,,,,,,,,,,,,
18,18,Every story in the book described shrewd scenes of a mountain town.,Every story in the book described spooky scenes of a mountain town.,7,UnNeu/Neu,2,.,.,shrewd,spooky,Were the book's stories about picturesque mountain scenes?,,,,,,,,,,,,,,
19,19,The man came across at first as extremely chubby but nevertheless he was friendly.,The man came across at first as extremely chubby but nevertheless he was friendly.,9,Neu/Neu,2,.,.,.,chubby,"Initially, did the man come across as intimidating?",,,,,,,,,,,,,,
20,20,Amanda's reputation in town was that she was quite maternal but that wasn't true.,Amanda's reputation in town was that she was quite tireless but that wasn't true.,1,P/Neu,2,maternal,.,.,tireless,Is Amanda's reputation in town undeservedly negative?,,,,,,,,,,,,,,
21,21,The song created narcotic effects on anyone listening.,The song created adequate effects on anyone listening.,4,N/Neu,2,.,narcotic,.,adequate,Was the song listened to?,,,,,,,,,,,,,,
22,22,People seem to think that Sharon's business practices are fairly backdoor but they aren't.,People seem to think that Sharon's business practices are fairly inactive but they aren't.,11,UnNeu/Neu,2,.,.,backdoor,inactive,Do people comment on Sharon's business practices?,,,,,,,,,,,,,,
23,23,We overheard the babysitter describe our son as rather naive to her friend.,We overheard the babysitter describe our son as rather naive to her friend.,1,Neu/Neu,2,.,.,.,naive,Was the babysitter a a private person?,,,,,,,,,,,,,,
24,24,The media tends to depict the colleges campus culture as pretty teenage this year.,The media tends to depict the colleges campus culture as pretty ongoing this year.,12,P/Neu,2,teenage,.,.,ongoing,Are college campuses discussed in the news?,,,,,,,,,,,,,,
25,25,The bus driver came off as pretty pushy to most passengers.,The bus driver came off as pretty gruff to most passengers.,8,N/Neu,2,.,pushy,.,gruff,Do the passengers sing together?,,,,,,,,,,,,,,
26,26,We talked about how the neighbor's dog was really matted for hours.,We talked about how the neighbor's dog was really freaky for hours.,1,UnNeu/Neu,2,.,.,matted,freaky,Was the neighbor's dog talked aboout?,,,,,,,,,,,,,,
27,27,The book was all about synthetic structures and had lots of useful illustrations.,The book was all about synthetic structures and had lots of useful illustrations.,6,Neu/Neu,2,.,.,.,synthetic,Was the book useful?,,,,,,,,,,,,,,
28,28,The expert told us that those instructions were all pretty elaborate and removed them.,The expert told us that those instructions were all pretty condensed and removed them.,11,P/Neu,2,elaborate,.,.,condensed,Did the expert give us new instructions?,,,,,,,,,,,,,,
29,29,Our volunteers are used to working around impolite animals that were born in captivity.,Our volunteers are used to working around indecent animals that were born in captivity.,8,N/Neu,2,.,impolite,.,indecent,Were the volunteers helpful?,,,,,,,,,,,,,,
30,30,The uncles opinions are quite delirious when it comes to properly cooking chicken.,The uncles opinions are quite notorious when it comes to properly cooking chicken.,6,UnNeu/Neu,2,.,.,delirious,notorious,Were my uncles quiet?,,,,,,,,,,,,,,
31,31,"In her opinion, their new hire was slightly inept and needed more training.","In her opinion, their new hire was slightly inept and needed more training.",9,Neu/Neu,2,.,.,.,inept,Was the new hire discussed?,,,,,,,,,,,,,,
32,32,The lawyer testified that her client was given foolproof treatment by the jury.,The lawyer testified that her client was given statutory treatment by the jury.,9,P/Neu,2,foolproof,.,.,statutory,Did the lawyer run away?,,,,,,,,,,,,,,
33,33,On the playground the teacher believed the boy acted without merciless intentions often.,On the playground the teacher believed the boy acted without primitive intentions often.,11,N/Neu,2,.,merciless,.,primitive,Was the teacher involved during recess?,,,,,,,,,,,,,,
34,34,The flavor of the coffee beans became lukewarm after they were fully roasted.,The flavor of the coffee beans became palpable after they were fully roasted.,8,UnNeu/Neu,2,.,.,lukewarm,palpable,Was the coffee any good?,,,,,,,,,,,,,,
35,35,The message of the book described pragmatic things that were relatable.,The message of the book described pragmatic things that were relatable.,7,Neu/Neu,2,.,.,.,pragmatic,Was the book useful?,,,,,,,,,,,,,,
36,36,The gas station in town was always armored and was often avoided by children.,The gas station in town was always sketchy and was often avoided by children.,8,P/Neu,2,armored,.,.,sketchy,Was the gas station open?,,,,,,,,,,,,,,
37,37,The physician was concerned about the patient's faithless treatment the next day.,The physician was concerned about the patient's unbridled treatment the next day.,8,N/Neu,2,.,faithless,.,unbridled,Was the physician concerned?,,,,,,,,,,,,,,
38,38,He said that her claims about his health were generally oblivious but he engaged.,He said that her claims about his health were generally unfounded but he engaged.,11,UnNeu/Neu,2,.,.,oblivious,unfounded,Were her claims ignored?,,,,,,,,,,,,,,
39,39,Our great aunt's countless opinions were something I remember with great detail.,Our great aunt's countless opinions were something I remember with great detail.,4,Neu/Neu,2,.,.,.,countless,Does my aunt remember anything?,,,,,,,,,,,,,,
40,40,The customers arriving for the early-bird special were largely upbeat every Tuesday morning.,The customers arriving for the early-bird special were largely ardent every Tuesday morning.,1,P/Neu,2,upbeat,.,.,ardent,Were the customers there late?,,,,,,,,,,,,,,
41,41,My next-door neighbor could be described as fairly stagnant in terms of his education.,My next-door neighbor could be described as fairly cerebral in terms of his education.,9,N/Neu,2,.,stagnant,.,cerebral,Was my next-door neighbor discussed?,,,,,,,,,,,,,,
42,42,The families opinions of drugs seemed to be quite minimal after the movie.,The families opinions of drugs seemed to be quite genetic after the movie.,1,UnNeu/Neu,2,.,.,minimal,genetic,Did people change their perspective before the film?,,,,,,,,,,,,,,
43,43,The professor told our class that generally speaking intensive students attended the meeting.,The professor told our class that generally speaking intensive students attended the meeting.,9,Neu/Neu,2,.,.,.,intensive,Did the professor speak to our class?,,,,,,,,,,,,,,
44,44,The meeting notes described graceful remarks and opinions from the previous hearing.,The meeting notes described previous remarks and opinions from the previous hearing.,5,P/Neu,2,graceful,.,.,previous,Were the meeting notes inaccurate?,,,,,,,,,,,,,,
45,45,Her massage practice was regarded as somewhat scratchy by her clientele.,Her massage practice was regarded as somewhat sluggish by her clientele.,8,N/Neu,2,.,scratchy,.,sluggish,Did her clientele think about her practice?,,,,,,,,,,,,,,
46,46,The people who set up the soccer game were quite abrasive while completing tasks.,The people who set up the soccer game were quite variable while completing tasks.,11,UnNeu/Neu,2,.,.,abrasive,variable,Did people leave the soccer game?,,,,,,,,,,,,,,
47,47,The patient described their infrared treatment at the hospital.,The patient described their infrared treatment at the hospital.,5,Neu/Neu,2,.,.,.,infrared,Was the patient in the hospital?,,,,,,,,,,,,,,
48,48,My friend started making prodigal purchases and spent lots of money.,My friend started making clinical purchases and spent lots of money.,5,P/Neu,2,prodigal,.,.,clinical,Did my friend save her money?,,,,,,,,,,,,,,
49,49,The mayor promised to make laws about managing bacterial policies to implement change.,The mayor promised to make laws about managing political policies to implement change.,9,N/Neu,2,.,bacterial,.,political,Did the mayor make campaign promises?,,,,,,,,,,,,,,
50,50,The speech that was given appeared elitist to the group of listeners.,The speech that was given appeared unheard to the group of listeners.,7,UnNeu/Neu,2,.,.,elitist,unheard,Did the audience leave?,,,,,,,,,,,,,,
51,51,The general made an announcement that the military should disarm messages from foreign powers.,The general made an announcement that the military should disarm messages from foreign powers.,1,Neu/Neu,2,.,.,.,disarm,Did the general make an announcement?,,,,,,,,,,,,,,
52,52,The main character in the story had to totally uplift at the end.,The main character in the story had to totally oppose at the end.,1,P/Neu,2,uplift,.,.,oppose,Did the main character have to totally reinvent themselves at the end?,,,,,,,,,,,,,,
53,53,Landscapers will often pollute certain areas over others.,Landscapers will often uncover certain areas over others.,4,N/Neu,2,.,pollute,.,uncover,Do landscapers often prioritize certain areas over others?,,,,,,,,,,,,,,
54,54,The psychologist says her patients sometimes dissuade their early memories in their sessions.,The psychologist says her patients sometimes compile their early memories in their sessions.,7,UnNeu/Neu,2,.,.,dissuade,compile,Does the psychologist say her patients sometimes repress their early memories?,,,,,,,,,,,,,,
55,55,"Usually, obstacles should never suspend a person using a blowtorch.","Usually, obstacles should never suspend a person using a blowtorch.",5,Neu/Neu,2,.,.,.,suspend,Should obstacles never deter a person using a blowtorch?,,,,,,,,,,,,,,
56,56,The people at the wedding somehow always rejoice the get-together.,The people at the wedding somehow always adjourn the get-together.,8,P/Neu,2,rejoice,.,.,adjourn,Do people at the wedding always celebrate the get-together?,,,,,,,,,,,,,,
57,57,As an antique dealer he had to often exclude certain high-end clientele.,As an antique dealer he had to often absolve certain high-end clientele.,9,N/Neu,2,.,exclude,.,absolve,Does an antique dealer often need to appraise certain high-end clientele?,,,,,,,,,,,,,,
58,58,"In Ohio the people intercept the power of officers, often wanting something.","In Ohio the people overpower the power of officers, often wanting something.",5,UnNeu/Neu,2,.,.,intercept,overpower,"In Ohio, do people respect the authority of officers?",,,,,,,,,,,,,,
59,59,The boy said grouping up could dictate how he feels.,The boy said grouping up could dictate how he feels.,7,Neu/Neu,2,.,.,.,dictate,Could grouping up change how the boy feels?,,,,,,,,,,,,,,
60,60,The man's ideas tended to generally conceive the discussion each week.,The man's ideas tended to generally overlook the discussion each week.,7,P/Neu,2,conceive,.,.,overlook,Do the man's ideas usually enhance the discussion each week?,,,,,,,,,,,,,,
61,61,She asked her patient why he felt the need to always resent in relationships.,She asked her patient why he felt the need to always comply in relationships.,12,N/Neu,2,.,resent,.,comply,Does the patient feel the need to always dominate in relationships?,,,,,,,,,,,,,,
62,62,The leaders with opposing ideas decided they shouldn't vamoose their ideas yet.,The leaders with opposing ideas decided they shouldn't combine their ideas yet.,9,UnNeu/Neu,2,.,.,vamoose,combine,Have the leaders with opposing ideas agreed to merge their ideas?,,,,,,,,,,,,,,
63,63,Our volunteers will often initially migrate the animals they rescue from the wild.,Our volunteers will often initially migrate the animals they rescue from the wild.,6,Neu/Neu,2,.,.,.,migrate,Do volunteers often rehabilitate the animals they rescue from the wild?,,,,,,,,,,,,,,
64,64,"At the fair, the family should certify themselves only temporarily to be safe.","At the fair, the family should abstain themselves only temporarily to be safe.",7,P/Neu,2,certify,.,.,abstain,"At the fair, should the family limit their time spent to be safe?",,,,,,,,,,,,,,
65,65,"We will probably either smother our feelings, or we will not.","We will probably either divulge our feelings, or we will not.",5,N/Neu,2,.,smother,.,divulge,Will we express our feelings openly?,,,,,,,,,,,,,,
66,66,The officer wouldn't often insist upon certain affairs that he didn't like.,The officer wouldn't often recoil upon certain affairs that he didn't like.,5,UnNeu/Neu,2,.,.,insist,recoil,Does the officer often intervene in affairs he dislikes?,,,,,,,,,,,,,,
67,67,The teenagers decided they might churn the information that they received.,The teenagers decided they might churn the information that they received.,6,Neu/Neu,2,.,.,.,churn,Might the teenagers ignore the information they received?,,,,,,,,,,,,,,
68,68,I tried very hard to simply forgive the people to attain their loyalty.,I tried very hard to simply beseech the people to attain their loyalty.,7,P/Neu,2,forgive,.,.,beseech,Did I manage to gain the loyalty of the people?,,,,,,,,,,,,,,
69,69,Matthew said in college he couldn't alienate his previous decision.,Matthew said in college he couldn't withdraw his previous decision.,7,N/Neu,2,.,alienate,.,withdraw,Was Matthew able to justify his previous decision in college?,,,,,,,,,,,,,,
70,70,The goal of the signed agreement was to truly dismantle the old rules.,The goal of the signed agreement was to truly stipulate the old rules.,1,UnNeu/Neu,2,.,.,dismantle,stipulate,Was the goal of the signed agreement to uphold the old rules?,,,,,,,,,,,,,,
71,71,Our friend knew she couldn't calibrate in public so she waited.,Our friend knew she couldn't calibrate in public so she waited.,6,Neu/Neu,2,.,.,.,calibrate,"Did our friend know she should not sing in public, so she waited?",,,,,,,,,,,,,,
72,72,The academic said it was a good idea to sometimes cooperate work from class.,The academic said it was a good idea to sometimes disengage work from class.,11,P/Neu,2,cooperate,.,.,disengage,Is it sometimes beneficial to ignore work from class according to the academic?,,,,,,,,,,,,,,
73,73,Because she was nervous she couldn't repel from them with much certainty.,Because she was nervous she couldn't evade from them with much certainty.,7,N/Neu,2,.,repel,.,evade,"Because she was nervous, could she communicate with them with certainty?",,,,,,,,,,,,,,
74,74,Despite their best attempts they didn't testify the evidence in the presentation.,Despite their best attempts they didn't magnify the evidence in the presentation.,7,UnNeu/Neu,2,.,.,testify,magnify,"Despite their best attempts, did they highlight the evidence in the presentation?",,,,,,,,,,,,,,
75,75,Jeanine truly loved gossip and would often isolate through drama.,Jeanine truly loved gossip and would often isolate through drama.,8,Neu/Neu,2,.,.,.,isolate,Does Jeanine often instigate drama?,,,,,,,,,,,,,,
76,76,My dog will usually munch anything small and soft in its presence.,My dog will usually wield anything small and soft in its presence.,5,P/Neu,2,munch,.,.,wield,Will my dog usually ignore anything small and soft?,,,,,,,,,,,,,,
77,77,"When arguments come up, we always misplace our feelings which helps us move forward.","When arguments come up, we always converge our feelings which helps us move forward.",7,N/Neu,2,.,misplace,.,converge,"Do we conceal our feelings during arguments, helping us move forward?",,,,,,,,,,,,,,
78,78,The campaign manager told the senator he couldn't publicly forego the policy.,The campaign manager told the senator he couldn't publicly govern the policy.,1,UnNeu/Neu,2,.,.,forego,govern,Could the campaign manager publicly endorse the policy?,,,,,,,,,,,,,,
79,79,"After falling down, the dancer will either assume her dance or not.","After falling down, the dancer will either assume her dance or not.",8,Neu/Neu,2,.,.,.,assume,"After falling, might the dancer continue her dance?",,,,,,,,,,,,,,
80,80,Henry reminded us to try to never exceed the expectations of our customers.,Henry reminded us to try to never preach the expectations of our customers.,8,P/Neu,2,excede,.,.,preach,Did Henry advise us to always meet the expectations of our customers?,,,,,,,,,,,,,,
81,81,The family reunion might withhold their closeness.,The family reunion might postpone their closeness.,5,N/Neu,2,.,withhold,.,postpone,Could the family reunion affect their closeness?,,,,,,,,,,,,,,
82,82,She was certain that her coworker could estimate the new plan.,She was certain that her coworker could allocate the new plan.,8,UnNeu/Neu,2,.,.,estimate,allocate,Was her coworker able to comprehend the new plan?,,,,,,,,,,,,,,
83,83,Artificial intelligence may partially vanquish employment for the American middle class.,Artificial intelligence may partially vanquish employment for the American middle class.,5,Neu/Neu,2,.,.,.,vanquish,Will artificial intelligence completely replace employment for the American middle class?,,,,,,,,,,,,,,
84,84,Daniel thought they couldn't embark the plan until everyone was present.,Daniel thought they couldn't vacate the plan until everyone was present.,5,P/Neu,2,embark,.,.,vacate,Were they able to proceed with the plan before everyone was present?,,,,,,,,,,,,,,
85,85,The manager realized he wouldn't evict the beliefs of his employees.,The manager realized he wouldn't imply the beliefs of his employees.,6,N/Neu,2,.,evict,.,imply,Would the manager adopt the beliefs of his employees?,,,,,,,,,,,,,,
86,86,He explained that he would probably calculate the business plan.,He explained that he would probably reiterate the business plan.,7,UnNeu/Neu,2,.,.,calculate,reiterate,Was he likely to abandon the business plan?,,,,,,,,,,,,,,
87,87,She told her assistant that he would never medicate without her supervision.,She told her assistant that he would never medicate without her supervision.,9,Neu/Neu,2,.,.,.,medicate,Was her assistant informed about needing supervision?,,,,,,,,,,,,,,
88,88,It is pretty common for some kids to sometimes educate other children at school.,It is pretty common for some kids to sometimes outrank other children at school.,1,P/Neu,2,educate,.,.,outrank,Is it common for some children to bully other children at school?,,,,,,,,,,,,,,
89,89,The union leader said that those on strike couldn't forbid change without leaders.,The union leader said that those on strike couldn't incite change without leaders.,1,N/Neu,2,.,forbid,.,incite,Could those on strike effect change without leaders according to the union leader?,,,,,,,,,,,,,,
90,90,Our children tried to clearly renounce the rules at their after-school program.,Our children tried to clearly override the rules at their after-school program.,6,UnNeu/Neu,2,.,.,renounce,override,Were our children able to understand the rules at their after-school program?,,,,,,,,,,,,,,
91,91,Mary said her boss wanted her to partially disperse her own efforts.,Mary said her boss wanted her to partially disperse her own efforts.,9,Neu/Neu,2,.,.,.,disperse,Did Mary's boss ask her to minimize her efforts?,,,,,,,,,,,,,,
92,92,The man claimed she would truly aspire after the ceremony.,The man claimed she would truly depose after the ceremony.,7,P/Neu,2,aspire,.,.,depose,Did the man claim something?,,,,,,,,,,,,,,
93,93,They tried to simply repossess despite my advice.,They tried to simply summarize despite my advice.,5,N/Neu,2,.,repossess,.,summarize,Did they attempt to simplify the process despite my advice?,,,,,,,,,,,,,,
94,94,The woman soon learned that her professional success might dangle later in the year.,The woman soon learned that her professional success might hasten later in the year.,1,UnNeu/Neu,2,.,.,dangle,hasten,Might the woman's professional success increase later in the year?,,,,,,,,,,,,,,
95,95,The team knew they couldn't recheck the trophy without getting in trouble.,The team knew they couldn't recheck the trophy without getting in trouble.,6,Neu/Neu,2,.,.,.,recheck,Did they know the team they would be penalized for taking the trophy?,,,,,,,,,,,,,,
96,96,We did our best to quickly activate the service the very next morning.,We did our best to quickly denounce the service the very next morning.,7,P/Neu,2,activate,.,.,denounce,Were we able to expedite the service the following morning?,,,,,,,,,,,,,,
97,97,The politician promised her political platform would deport current policies related to their cause.,The politician promised her political platform would topple current policies related to their cause.,8,N/Neu,2,.,deport,.,topple,Would the politician's platform revise existing policies?,,,,,,,,,,,,,,
98,98,The main purpose of the meeting was to generally quadruple against the cumulative effects.,The main purpose of the meeting was to generally formulate against the cumulative effects.,1,UnNeu/Neu,2,.,.,quadruple,formulate,Was the meeting's main goal to advocate against the cumulative effects?,,,,,,,,,,,,,,
99,99,The boys shouldn't restrain just because they are told to.,The boys shouldn't restrain just because they are told to.,4,Neu/Neu,2,.,.,.,restrain,Should the boys act without questioning the instructions given to them?,,,,,,,,,,,,,,
100,100,The senior scientist said he couldn't resurrect the sample without ruining the experiment.,The senior scientist said he couldn't dissipate the sample without ruining the experiment.,7,P/Neu,2,resurrect,.,.,dissipate,Could the senior scientist alter the sample without compromising it?,,,,,,,,,,,,,,
101,101,The old lady would disrupt every conversation in order to be listened to.,The old lady would inflate every conversation in order to be listened to.,5,N/Neu,2,.,disrupt,.,inflate,Would the old lady dominate every conversation to ensure she was heard?,,,,,,,,,,,,,,
102,102,She tried to never confess her own experience and opinions at a cost.,She tried to never unscrew her own experience and opinions at a cost.,5,UnNeu/Neu,2,.,.,confess,unscrew,Did she manage to share her experience and opinions without repercussions?,,,,,,,,,,,,,,
103,103,Every summer the campers tried to totally mimic themselves until the end of camp.,Every summer the campers tried to totally mimic themselves until the end of camp.,8,Neu/Neu,2,.,.,.,mimic,Did the campers manage to isolate themselves completely each summer?,,,,,,,,,,,,,,
104,104,"When visiting the tidepools, the kids would often recycle their route out of curiosity.","When visiting the tidepools, the kids would often retrace their route out of curiosity.",9,P/Neu,2,recycle,.,.,retrace,"When visiting tidepools, did the kids stick to their planned route?",,,,,,,,,,,,,,
105,105,"At home, we sometimes confine each other then talk about what we can do better.","At home, we sometimes entitle each other then talk about what we can do better.",5,N/Neu,2,.,confine,.,entitle,Do we often encourage each other at home to improve ourselves?,,,,,,,,,,,,,,
106,106,The expert told the man he needed to clearly persist his opinions.,The expert told the man he needed to clearly defrost his opinions.,1,UnNeu/Neu,2,.,.,persist,defrost,Did the man need to articulate his opinions more clearly?,,,,,,,,,,,,,,
